date,time,site
2022-11-15,10:25,BO
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,10:25,C2
2022-11-15,11:55,RD6
2022-11-15,11:55,RD6
2022-11-15,11:55,RD6
2022-11-15,11:55,RD6
2022-12-14,9:57,BO
2022-12-14,9:57,BO
2022-12-14,9:57,BO
2022-12-14,9:57,BO
2022-12-14,9:57,BO
2022-12-14,10:51,BO
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,10:51,C2
2022-12-14,12:11,RD6
2022-12-14,12:11,RD6
2022-12-14,12:11,RD6
2022-12-14,12:11,RD6
