Well,Fluor,Target,Content,Sample,Cq,SQ
I02,SYBR,,Unkn,BO_5_20,27.68361178,NaN
I03,SYBR,,Unkn,BO_5_20,28.04412922,NaN
I05,SYBR,,Unkn,C2_5_20,28.04015386,NaN
I06,SYBR,,Unkn,C2_5_20,27.94194972,NaN
I07,SYBR,,Unkn,C2_5_20,27.97286145,NaN
I09,SYBR,,Unkn,RD_5_20,27.97393935,NaN
I10,SYBR,,Unkn,RD_5_20,27.96712065,NaN
I11,SYBR,,Unkn,RD_5_20,28.03269693,NaN
I14,SYBR,,Unkn,BO_5_20i,NaN,NaN
I15,SYBR,,Unkn,BO_5_20i,43.81326839,NaN
I16,SYBR,,Unkn,BO_5_20i,NaN,NaN
I18,SYBR,,Unkn,C2_5_20i,NaN,NaN
I19,SYBR,,Unkn,C2_5_20i,NaN,NaN
I20,SYBR,,Unkn,C2_5_20i,41.13416348,NaN
I22,SYBR,,Unkn,RD_5_20i,NaN,NaN
I23,SYBR,,Unkn,RD_5_20i,NaN,NaN
I24,SYBR,,Unkn,RD_5_20i,NaN,NaN
J01,SYBR,,Unkn,BO_11,27.84784645,NaN
J02,SYBR,,Unkn,BO_11,27.69530776,NaN
J03,SYBR,,Unkn,BO_11,28.09467199,NaN
J05,SYBR,,Unkn,C2_11,27.72276843,NaN
J06,SYBR,,Unkn,C2_11,27.77530657,NaN
J07,SYBR,,Unkn,C2_11,28.00293874,NaN
J09,SYBR,,Unkn,RD_11,28.04890301,NaN
J10,SYBR,,Unkn,RD_11,28.08121067,NaN
J11,SYBR,,Unkn,RD_11,28.13995504,NaN
J14,SYBR,,Unkn,BO_11i,NaN,NaN
J15,SYBR,,Unkn,BO_11i,NaN,NaN
J16,SYBR,,Unkn,BO_11i,NaN,NaN
J18,SYBR,,Unkn,C2_11i,NaN,NaN
J19,SYBR,,Unkn,C2_11i,NaN,NaN
J20,SYBR,,Unkn,C2_11i,NaN,NaN
J22,SYBR,,Unkn,RD_11i,NaN,NaN
J23,SYBR,,Unkn,RD_11i,NaN,NaN
J24,SYBR,,Unkn,RD_11i,NaN,NaN
K01,SYBR,,Unkn,BO_5_24,27.52143545,NaN
K02,SYBR,,Unkn,BO_5_24,27.371244,NaN
K03,SYBR,,Unkn,BO_5_24,27.92146549,NaN
K05,SYBR,,Unkn,C2_5_24,27.86940531,NaN
K06,SYBR,,Unkn,C2_5_24,27.73644731,NaN
K07,SYBR,,Unkn,C2_5_24,28.01929159,NaN
K09,SYBR,,Unkn,RD_5_24,28.09204415,NaN
K10,SYBR,,Unkn,RD_5_24,28.12163245,NaN
K11,SYBR,,Unkn,RD_5_24,28.36373951,NaN
K14,SYBR,,Unkn,BO_5_24i,NaN,NaN
K15,SYBR,,Unkn,BO_5_24i,NaN,NaN
K16,SYBR,,Unkn,BO_5_24i,NaN,NaN
K18,SYBR,,Unkn,C2_5_24i,NaN,NaN
K19,SYBR,,Unkn,C2_5_24i,44.30723467,NaN
K20,SYBR,,Unkn,C2_5_24i,NaN,NaN
K22,SYBR,,Unkn,RD_5_24i,NaN,NaN
K23,SYBR,,Unkn,RD_5_24i,NaN,NaN
K24,SYBR,,Unkn,RD_5_24i,NaN,NaN
L01,SYBR,,Unkn,BO_12,27.58253759,NaN
L02,SYBR,,Unkn,BO_12,27.6285391,NaN
L03,SYBR,,Unkn,BO_12,27.85327666,NaN
L05,SYBR,,Unkn,C2_12,27.61686518,NaN
L06,SYBR,,Unkn,C2_12,27.64383887,NaN
L07,SYBR,,Unkn,C2_12,27.89540041,NaN
L09,SYBR,,Unkn,RD_12,28.28556122,NaN
L10,SYBR,,Unkn,RD_12,28.29435673,NaN
L11,SYBR,,Unkn,RD_12,28.35241783,NaN
L14,SYBR,,Unkn,BO_12i,44.20248727,NaN
L15,SYBR,,Unkn,BO_12i,NaN,NaN
L16,SYBR,,Unkn,BO_12i,NaN,NaN
L18,SYBR,,Unkn,C2_12i,NaN,NaN
L19,SYBR,,Unkn,C2_12i,NaN,NaN
L20,SYBR,,Unkn,C2_12i,NaN,NaN
L22,SYBR,,Unkn,RD_12i,NaN,NaN
L23,SYBR,,Unkn,RD_12i,NaN,NaN
L24,SYBR,,Unkn,RD_12i,NaN,NaN
P01,SYBR,,Pos Ctrl,,28.60109,NaN
P02,SYBR,,Pos Ctrl,,28.51749798,NaN
P03,SYBR,,Pos Ctrl,,28.65506544,NaN
P22,SYBR,,NTC,,NaN,NaN
P23,SYBR,,NTC,,NaN,NaN
P24,SYBR,,NTC,,NaN,NaN
