Location,Date of sample collection,"CFU conting date, after 24 hr incubation",Sample name,Number of Yellow colony,Number of Green colony,Total colonies,Dilution Factor (Final volume/Initial volume),Volume of sample plated in mL,Total CFU/mL,variation,CFU/mL Yellow,CFU/mL Green,Remarks,*= Wet plates --> Spreading
BO,6/14/22,6/15/22,100µLA,121,11,132,1,0.1,1320,g,1210,110,,
BO,6/14/22,6/15/22,100µLB,94,15,109,1,0.1,1090,g,940,150,,
BO,6/14/22,6/15/22,100µLC,171,19,190,1,0.1,1900,g,1710,190,,
BO,6/14/22,6/15/22,50+50 µLA,40,11,51,2,0.1,1020,,800,220,,
BO,6/14/22,6/15/22,50+50 µLA,33,11,44,2,0.1,880,,660,220,,
BO,6/14/22,6/15/22,50+50 µLA,11,6,17,2,0.1,340,,220,120,,
Canal 2,6/14/22,6/15/22,100µLA,4,1,5,1,0.1,50,g,40,10,,
Canal 2,6/14/22,6/15/22,100µLB,18,9,27,1,0.1,270,g,180,90,,
Canal 2,6/14/22,6/15/22,100µLC,20,9,29,1,0.1,290,g,200,90,,
Canal 2,6/14/22,6/15/22,50+50 µLA,1,0,1,2,0.1,20,,20,0,,
Canal 2,6/14/22,6/15/22,50+50 µLA,2,0,2,2,0.1,40,,40,0,,
Canal 2,6/14/22,6/15/22,50+50 µLA,2,1,3,2,0.1,60,,40,20,,
RD6,6/14/22,6/15/22,100µLA,2,19,21,1,0.1,210,,20,190,,
RD6,6/14/22,6/15/22,100µLB,8,34,42,1,0.1,420,,80,340,,
RD6,6/14/22,6/15/22,100µLC,5,25,30,1,0.1,300,,50,250,,
RD6,6/14/22,6/15/22,50+50 µLA,1,3,4,2,0.1,80,g,20,60,,
RD6,6/14/22,6/15/22,50+50 µLA,0,2,2,2,0.1,40,g,0,40,,
RD6,6/14/22,6/15/22,50+50 µLA,1,2,3,2,0.1,60,g,20,40,,
Milli Q,6/14/22,6/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
1 X PBS,6/14/22,6/15/22,100µLA,0,0,0,1,0.1,0,,0,0,,
BO,7/7/22,7/8/22,100µLA,52,3,55,1,0.1,550,,520,30,,
BO,7/7/22,7/8/22,100µLB,26,6,32,1,0.1,320,,260,60,,
BO,7/7/22,7/8/22,100µLC,15,5,20,1,0.1,200,,150,50,,
BO,7/7/22,7/8/22,50+50 µLA,13,12,25,2,0.1,500,g,260,240,,
BO,7/7/22,7/8/22,50+50 µLA,26,9,35,2,0.1,700,g,520,180,,
BO,7/7/22,7/8/22,50+50 µLA,27,6,33,2,0.1,660,g,540,120,,
