Sample,copies_mL,site,day,copies_uL,date
C2_5_11,5.7,C2,5_11,5.7,2022-05-11
C2_5_11,5.7,C2,5_11,5.7,2022-05-11
C2_5_11,5.7,C2,5_11,5.7,2022-05-11
RD_5_11,5.7,RD,5_11,5.7,2022-05-11
RD_5_11,5.7,RD,5_11,5.7,2022-05-11
RD_5_11,5.7,RD,5_11,5.7,2022-05-11
BO_10,1368.0080587105522,BO,10,820.8048352263313,2022-10-18
BO_10,543.2655073435494,BO,10,325.95930440612966,2022-10-18
BO_10,974.0828266084983,BO,10,584.449695965099,2022-10-18
C2_10,5.7,C2,10,5.7,2022-10-18
C2_10,5.7,C2,10,5.7,2022-10-18
C2_10,5.7,C2,10,5.7,2022-10-18
RD_10,5.7,RD,10,5.7,2022-10-18
RD_10,5.7,RD,10,5.7,2022-10-18
RD_10,5.7,RD,10,5.7,2022-10-18
BO_5_20,24.94021253887551,BO,5_20,24.94021253887551,2022-05-20
BO_5_20,5.7,BO,5_20,5.7,2022-05-20
BO_5_20,72.57092410042809,BO,5_20,72.57092410042809,2022-05-20
C2_5_20,5.7,C2,5_20,5.7,2022-05-20
C2_5_20,5.7,C2,5_20,5.7,2022-05-20
C2_5_20,5.7,C2,5_20,5.7,2022-05-20
RD_5_20,5.7,RD,5_20,5.7,2022-05-20
RD_5_20,5.7,RD,5_20,5.7,2022-05-20
RD_5_20,5.7,RD,5_20,5.7,2022-05-20
BO_11,19,BO,11,5.7,2022-11-15
BO_11,19,BO,11,5.7,2022-11-15
BO_11,19,BO,11,5.7,2022-11-15
C2_11,5.7,C2,11,5.7,2022-11-15
C2_11,5.7,C2,11,5.7,2022-11-15
C2_11,5.7,C2,11,5.7,2022-11-15
RD_11,5.7,RD,11,5.7,2022-11-15
RD_11,5.7,RD,11,5.7,2022-11-15
RD_11,5.7,RD,11,5.7,2022-11-15
BO_5_24,62.58978512246809,BO,5_24,62.58978512246809,2022-05-24
BO_5_24,65.75180151638601,BO,5_24,65.75180151638601,2022-05-24
BO_5_24,152.0826993322103,BO,5_24,152.0826993322103,2022-05-24
C2_5_24,5.7,C2,5_24,5.7,2022-05-24
C2_5_24,5.7,C2,5_24,5.7,2022-05-24
C2_5_24,5.7,C2,5_24,5.7,2022-05-24
RD_5_24,5.7,RD,5_24,5.7,2022-05-24
RD_5_24,5.7,RD,5_24,5.7,2022-05-24
RD_5_24,5.7,RD,5_24,5.7,2022-05-24
BO_12,9.5,BO,12,5.7,2022-12-14
BO_12,9.5,BO,12,5.7,2022-12-14
BO_12,9.5,BO,12,5.7,2022-12-14
C2_12,5.7,C2,12,5.7,2022-12-14
C2_12,5.7,C2,12,5.7,2022-12-14
C2_12,5.7,C2,12,5.7,2022-12-14
RD_12,32.81101806012184,RD,12,32.81101806012184,2022-12-14
RD_12,5.7,RD,12,5.7,2022-12-14
RD_12,5.7,RD,12,5.7,2022-12-14
